DATAFLOW,LAST UPDATE,freq,nrg_prc,nrg_cons,currency,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Germany,2024,0.0867,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Denmark,2017,0.0410,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Denmark,2018,0.0404,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Denmark,2019,0.0400,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Denmark,2022,0.0372,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Denmark,2023,0.0376,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Denmark,2024,0.0450,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Spain,2017,0.0293,d,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Spain,2018,0.0261,d,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Spain,2019,0.0365,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Spain,2022,0.0524,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Spain,2023,0.0621,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Spain,2024,0.0514,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Finland,2017,0.0351,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Finland,2018,0.0358,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Finland,2019,0.0365,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Finland,2022,0.0370,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Finland,2023,0.0382,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Finland,2024,0.0386,d,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,France,2017,0.0375,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,France,2018,0.0404,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,France,2019,0.0421,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,France,2022,0.0431,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,France,2023,0.0457,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,France,2024,0.0492,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Ireland,2017,0.0598,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Ireland,2018,0.0648,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Ireland,2019,0.0631,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Ireland,2022,0.0678,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Ireland,2023,0.0667,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Ireland,2024,0.0748,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Italy,2017,0.0217,d,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Italy,2018,0.0219,d,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Italy,2019,0.0280,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Italy,2022,0.0405,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Italy,2023,0.0366,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Italy,2024,0.0353,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Netherlands,2017,0.0390,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Netherlands,2018,0.0390,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Netherlands,2019,0.0410,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Netherlands,2022,0.0470,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Netherlands,2023,0.0635,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Netherlands,2024,0.0814,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Norway,2017,0.0281,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Norway,2018,0.0278,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Norway,2019,0.0268,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Norway,2022,0.0261,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Norway,2023,0.0232,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Norway,2024,0.0227,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Poland,2017,0.0456,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Poland,2018,0.0435,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Poland,2019,0.0444,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Poland,2022,0.0449,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Poland,2023,0.0739,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Poland,2024,0.0809,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Sweden,2017,0.0411,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Sweden,2018,0.0380,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Sweden,2019,0.0381,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Sweden,2022,0.0419,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Sweden,2023,0.0390,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,Sweden,2024,0.0461,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,United Kingdom,2017,0.0339,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,United Kingdom,2018,0.0315,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Network costs,Consumption from 20 MWh to 499 MWh - band IB,Euro,United Kingdom,2019,0.0416,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Austria,2017,0.0461,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Austria,2018,0.0469,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Austria,2019,0.0530,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Austria,2022,0.1115,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Austria,2023,0.2050,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Austria,2024,0.1657,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Belgium,2017,0.0541,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Belgium,2018,0.0490,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Belgium,2019,0.0543,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Belgium,2022,0.1682,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Belgium,2023,0.1573,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Belgium,2024,0.1148,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Germany,2017,0.0420,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Germany,2018,0.0424,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Germany,2019,0.0347,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Germany,2022,0.1146,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Germany,2023,0.1446,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Germany,2024,0.1440,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Denmark,2017,0.0373,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Denmark,2018,0.0438,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Denmark,2019,0.0443,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Denmark,2022,0.1947,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Denmark,2023,0.1162,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Denmark,2024,0.0884,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Spain,2017,0.1025,d,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Spain,2018,0.1090,d,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Spain,2019,0.0659,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Spain,2022,0.1400,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Spain,2023,0.1306,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Spain,2024,0.1020,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Finland,2017,0.0411,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Finland,2018,0.0422,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Finland,2019,0.0444,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Finland,2022,0.0774,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Finland,2023,0.0830,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Finland,2024,0.0698,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,France,2017,0.0528,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,France,2018,0.0529,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,France,2019,0.0573,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,France,2022,0.0979,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,France,2023,0.2109,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,France,2024,0.1562,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Ireland,2017,0.0752,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Ireland,2018,0.0803,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Ireland,2019,0.0920,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Ireland,2022,0.2062,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Ireland,2023,0.2723,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Ireland,2024,0.2309,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Italy,2017,0.0750,d,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Italy,2018,0.0816,d,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Italy,2019,0.0810,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Italy,2022,0.2459,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Italy,2023,0.1805,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Italy,2024,0.1430,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Netherlands,2017,0.0490,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Netherlands,2018,0.0500,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Netherlands,2019,0.0540,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Netherlands,2022,0.1273,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Netherlands,2023,0.1619,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Netherlands,2024,0.1315,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Norway,2017,0.0324,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Norway,2018,0.0452,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Norway,2019,0.0434,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Norway,2022,0.1316,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Norway,2023,0.0654,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Norway,2024,0.0515,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Poland,2017,0.0474,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Poland,2018,0.0467,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Poland,2019,0.0497,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Poland,2022,0.0904,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Poland,2023,0.1006,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Poland,2024,0.0989,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Sweden,2017,0.0326,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Sweden,2018,0.0397,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Sweden,2019,0.0441,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Sweden,2022,0.1043,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Sweden,2023,0.0701,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,Sweden,2024,0.0586,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,United Kingdom,2017,0.0756,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,United Kingdom,2018,0.0870,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Energy and supply,Consumption from 20 MWh to 499 MWh - band IB,Euro,United Kingdom,2019,0.0801,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Other,Consumption from 20 MWh to 499 MWh - band IB,Euro,Austria,2017,0.0012,,
ESTAT:NRG_PC_205_C(1.0),22/10/25 23:00:00,Annual,Other,Consumption from 20 MWh to 499 MWh - band IB,Euro,Austria,2018,0.0012,,
